Processor model	Implict	Type	Opcode	Mnemonic	2200 I INSTRUCTION TIME	2200 II INSTRUCTION TIME	5500 INSTRUCTION TIME
5500	113	0	131	EX_COM1 D	0	0	10.2
5500	174	0	131	EX_COM1 E	0	0	10.2
5500	115	0	131	EX_COM1 H	0	0	10.2
5500	176	0	131	EX_COM1 L	0	0	10.2
5500	22	0	131	EX_COM1 X	0	0	10.2
2200-1	0	0	133	EX_COM2	16	9.6	9.2
5500	111	0	133	EX_COM2 B	0	0	10.2
5500	62	0	133	EX_COM2 C	0	0	10.2
5500	113	0	133	EX_COM2 D	0	0	10.2
5500	174	0	133	EX_COM2 E	0	0	10.2
5500	115	0	133	EX_COM2 H	0	0	10.2
5500	176	0	133	EX_COM2 L	0	0	10.2
5500	22	0	133	EX_COM2 X	0	0	10.2
2200-1	0	0	135	EX_COM3	16	9.6	9.2
5500	111	0	135	EX_COM3 B	0	0	10.2
5500	62	0	135	EX_COM3 C	0	0	10.2
5500	113	0	135	EX_COM3 D	0	0	10.2
5500	174	0	135	EX_COM3 E	0	0	10.2
5500	115	0	135	EX_COM3 H	0	0	10.2
5500	176	0	135	EX_COM3 L	0	0	10.2
5500	22	0	135	EX_COM3 X	0	0	10.2
2200-1	0	0	137	EX_COM4	16	9.6	9.2
5500	111	0	137	EX_COM4 B	0	0	10.2
5500	62	0	137	EX_COM4 C	0	0	10.2
5500	113	0	137	EX_COM4 D	0	0	10.2
5500	174	0	137	EX_COM4 E	0	0	10.2
5500	115	0	137	EX_COM4 H	0	0	10.2
5500	176	0	137	EX_COM4 L	0	0	10.2
5500	22	0	137	EX_COM4 X	0	0	10.2
2200-1	0	0	151	EX_BEEP	16	9.6	9.2
5500	111	0	151	EX_BEEP B	0	0	10.2
5500	62	0	151	EX_BEEP C	0	0	10.2
5500	113	0	151	EX_BEEP D	0	0	10.2
5500	174	0	151	EX_BEEP E	0	0	10.2
5500	115	0	151	EX_BEEP H	0	0	10.2
5500	176	0	151	EX_BEEP L	0	0	10.2
5500	22	0	151	EX_BEEP X	0	0	10.2
2200-1	0	0	153	EX_CLICK	16	9.6	9.2
5500	111	0	153	EX_CLICK B	0	0	10.2
5500	62	0	153	EX_CLICK C	0	0	10.2
5500	113	0	153	EX_CLICK D	0	0	10.2
5500	174	0	153	EX_CLICK E	0	0	10.2
5500	115	0	153	EX_CLICK H	0	0	10.2
5500	176	0	153	EX_CLICK L	0	0	10.2
5500	22	0	153	EX_CLICK X	0	0	10.2
2200-1	0	0	155	EX_DECK1	16	9.6	9.2
5500	111	0	155	EX_DECK1 B	0	0	10.2
5500	62	0	155	EX_DECK1 C	0	0	10.2
5500	113	0	155	EX_DECK1 D	0	0	10.2
5500	174	0	155	EX_DECK1 E	0	0	10.2
5500	115	0	155	EX_DECK1 H	0	0	10.2
5500	176	0	155	EX_DECK1 L	0	0	10.2
5500	22	0	155	EX_DECK1 X	0	0	10.2
2200-1	0	0	157	EX_DECK2	16	9.6	9.2
5500	111	0	157	EX_DECK2 B	0	0	10.2
5500	62	0	157	EX_DECK2 C	0	0	10.2
5500	113	0	157	EX_DECK2 D	0	0	10.2
5500	174	0	157	EX_DECK2 E	0	0	10.2
5500	115	0	157	EX_DECK2 H	0	0	10.2
5500	176	0	157	EX_DECK2 L	0	0	10.2
5500	22	0	157	EX_DECK2 X	0	0	10.2
2200-1	0	0	161	EX_RBK	16	9.6	9.2
5500	111	0	161	EX_RBK B	0	0	10.2
5500	62	0	161	EX_RBK C	0	0	10.2
5500	113	0	161	EX_RBK D	0	0	10.2
5500	174	0	161	EX_RBK E	0	0	10.2
5500	115	0	161	EX_RBK H	0	0	10.2
5500	176	0	161	EX_RBK L	0	0	10.2
5500	22	0	161	EX_RBK X	0	0	10.2
2200-1	0	0	163	EX_WBK	16	9.6	9.2
5500	111	0	163	EX_WBK B	0	0	10.2
5500	62	0	163	EX_WBK C	0	0	10.2
5500	113	0	163	EX_WBK D	0	0	10.2
5500	174	0	163	EX_WBK E	0	0	10.2
5500	115	0	163	EX_WBK H	0	0	10.2
5500	176	0	163	EX_WBK L	0	0	10.2
5500	22	0	163	EX_WBK X	0	0	10.2
2200-1	0	0	167	EX_BSP	16	9.6	9.2
5500	111	0	167	EX_BSP B	0	0	10.2
5500	62	0	167	EX_BSP C	0	0	10.2
5500	113	0	167	EX_BSP D	0	0	10.2
5500	174	0	167	EX_BSP E	0	0	10.2
5500	115	0	167	EX_BSP H	0	0	10.2
5500	176	0	167	EX_BSP L	0	0	10.2
5500	22	0	167	EX_BSP X	0	0	10.2
2200-1	0	0	171	EX_SF	16	9.6	9.2
5500	111	0	171	EX_SF B	0	0	10.2
5500	62	0	171	EX_SF C	0	0	10.2
5500	113	0	171	EX_SF D	0	0	10.2
5500	174	0	171	EX_SF E	0	0	10.2
5500	115	0	171	EX_SF H	0	0	10.2
5500	176	0	171	EX_SF L	0	0	10.2
5500	22	0	171	EX_SF X	0	0	10.2
2200-1	0	0	173	EX_SB	16	9.6	9.2
5500	111	0	173	EX_SB B	0	0	10.2
5500	62	0	173	EX_SB C	0	0	10.2
5500	113	0	173	EX_SB D	0	0	10.2
5500	174	0	173	EX_SB E	0	0	10.2
5500	115	0	173	EX_SB H	0	0	10.2
5500	176	0	173	EX_SB L	0	0	10.2
5500	22	0	173	EX_SB X	0	0	10.2
2200-1	0	0	175	EX_REWIND	16	9.6	9.2
5500	111	0	175	EX_REWIND B	0	0	10.2
5500	62	0	175	EX_REWIND C	0	0	10.2
5500	113	0	175	EX_REWIND D	0	0	10.2
5500	174	0	175	EX_REWIND E	0	0	10.2
5500	115	0	175	EX_REWIND H	0	0	10.2
5500	176	0	175	EX_REWIND L	0	0	10.2
5500	22	0	175	EX_REWIND X	0	0	10.2
2200-1	0	0	177	EX_TSTOP	16	9.6	9.2
5500	111	0	177	EX_TSTOP B	0	0	10.2
5500	62	0	177	EX_TSTOP C	0	0	10.2
5500	113	0	177	EX_TSTOP D	0	0	10.2
5500	174	0	177	EX_TSTOP E	0	0	10.2
5500	115	0	177	EX_TSTOP H	0	0	10.2
5500	176	0	177	EX_TSTOP L	0	0	10.2
5500	22	0	177	EX_TSTOP X	0	0	10.2
5500	0	0	103	PIN	0	0	5.4
5500	111	0	103	PIN B	0	0	5.4
5500	62	0	103	PIN C	0	0	5.4
5500	113	0	103	PIN D	0	0	5.4
5500	174	0	103	PIN E	0	0	5.4
5500	115	0	103	PIN H	0	0	5.4
5500	176	0	103	PIN L	0	0	5.4
5500	22	0	103	PIN X	0	0	5.4
5500	0	0	021	BT	0	0	4.8+N*3.2
5500	111	0	021	BTR	0	0	4.8+N*3.2
5500	62	0	021	BCV	0	0	VAR
5500	0	0	011	BFAC	0	0	VAR
5500	0	0	031	BFSB	0	0	VAR
5500	0	0	041	BCP	0	0	VAR
5500	111	0	041	DFAC	0	0	VAR
5500	62	0	041	BFSB	0	0	VAR
5500	0	0	075	BFSL	0	0	VAR
5500	111	0	075	BFSR	0	0	VAR
5500	111	0	061	MIN	0	0	VAR
